doc_set,doc_id,doc_content
cpc_2011,0,"1. An aircraft engine assembly, comprising:  
an engine;  
an engine suspension pylon, the pylon including a rigid structure that includes a box and a structural block installed fixed on the box between the box and the and the engine, and the pylon including a mounting system inserted between the engine and the rigid structure, the mounting system including an aft engine suspension, the structural block including an attachment interface for the aft engine suspension;  
a heat exchanger system including an exchanger to which a hot fluid inlet, a cold air inlet, a first outlet communicating with the hot fluid inlet, and at least one second outlet communicating with the cold air inlet are connected, the hot fluid inlet being provided on a hot air duct connected to the exchanger and passing through the structural block in a longitudinal direction of the rigid structure, and each second outlet from the heat exchanger system being located between the box and the engine;  
wherein each second outlet is located aft from the aft engine suspension, and  
wherein the exchanger in the heat exchanger system is at least partially arranged inside an aft aerodynamic fairing of the suspension pylon, the aft aerodynamic fairing being located entirely aft from the aft engine suspension.  
2. An engine assembly according to  claim 1, wherein the second outlet opens up inside the aft aerodynamic fairing of the suspension pylon.
3. An engine assembly according to  claim 2, wherein the aft aerodynamic fairing includes a controllable mobile structure including two lateral panels articulated at their forward ends on two corresponding lateral skins of the fairing, each of the panels configured to close/release an opening formed in its related lateral skin of the fairing.
4. An engine assembly according to  claim 1, wherein the aft aerodynamic fairing includes an air outlet opening including a controllable mobile structure, that, depending on its position, can modify an aerodynamic shape of the fairing.
5. An engine assembly according to  claim 4, wherein the mobile structure is placed across the air outlet opening.
6. An engine assembly according to  claim 1, wherein the first outlet from the heat exchanger system is provided on a first outlet pipe connected to the exchanger and passing through the box of the rigid structure.
7. An engine assembly according to  claim 6, wherein the first outlet is configured to be connected to a wing element of the aircraft.
8. An engine assembly according to  claim 1, wherein the heat exchanger system is a fluid/air type, the fluid passing through the hot fluid inlet and the first outlet and being among the group composed of air, oil and fuel.
9. An engine assembly according to  claim 1, wherein each second outlet is located between the box and the engine, adjacent to an engine exhaust nozzle or on the downstream side of the engine exhaust nozzle.
10. An aircraft comprising at least one engine assembly according to  claim 1.
11. An engine assembly according to  claim 1, wherein the box is made of a composite material.
12. An engine assembly according to  claim 1, wherein the mounting system further includes a thrust resistance device connected to an aft part of a fan casing of the engine and connected to the structural block. "
cpc_2011,1,"1. An aircraft system comprising:  
an air circuit extending from an air intake to an air discharge; and  
a plate closing said air discharge,  
said plate comprising a peripheral frame adapted to be connected to an aerodynamic surface of an aircraft, said plate having plural openings delimited by intermediate zones and at least one longitudinal reinforcement that separates said plural openings into at least two stages, said intermediate zones being a flat surface and said at least one longitudinal reinforcement being a flat surface coplanar with the flat surface of said intermediate zones and arranged to be an extension of the aerodynamic surface of the aircraft,  
wherein a largest dimension of said intermediate zones is oriented perpendicular to said at least one longitudinal reinforcement,  
wherein a pair of said plural openings, one from each of said two stages, perpendicular to and separated by said at least one longitudinal reinforcement have a same length in a direction perpendicular to said at least one longitudinal reinforcement, and  
wherein a width of said at least one longitudinal reinforcement between said pair of plural openings is more than the length of one of said plural openings in said pair and less than twice this length.  
2. The system of  claim 1, wherein said plural openings have the same length.
3. The system of  claim 1, wherein said at least one longitudinal reinforcement has a divergent shape in a direction of flow of outside air.
4. The system of  claim 3, wherein said openings are on both sides of a median axis, wherein a first edge of said longitudinal reinforcement has an angle of from 5Â° to 15Â° relative to the median axis and an opposite edge of said longitudinal reinforcement has an angle of from 5Â° to 15Â° relative to the median axis.
5. The system of  claim 1, wherein said at least one longitudinal reinforcement has a convergent shape in a direction of flow of outside air.
6. The system of  claim 5, wherein said openings are on both sides of a median axis, wherein a first edge of said longitudinal reinforcement has an angle of from 5Â° to 15Â° relative to the median axis and an opposite edge of said longitudinal reinforcement has an angle of from 5Â° to 15Â° relative to the median axis.
7. An aircraft comprising the system of  claim 1. "
cpc_2011,2,"1. A method to mount an aircraft engine on a rigid structure of an engine mount for the engine, comprising:  
securing, on the rigid structure, an attachment body for an engine attachment previously mounted on an engine case, the attachment body configured to lie against a contact surface of the rigid structure oriented forwardly, and to be secured to the rigid structure via at least one shear pin passing through a first primary orifice and a second primary orifice made in the attachment body and the rigid structure respectively, the securing of the attachment body onto the rigid structure comprising:  
pre-positioning the engine relative to the engine mount to place the first primary orifice opposite the second primary orifice; and
inserting a pin fitted with a convex centering head through the two opposite-facing primary orifices, so that the pin fitted with the convex centering head and housed in the two primary orifices forms the shear pin.    
2. The mounting method according to  claim 1, wherein the inserting a pin fitted with a convex centering head is repeated as many times as a number of intended shear pins between the attachment body and the rigid structure.
3. The mounting method according to  claim 1, wherein the pre-positioning comprises:  
bringing the engine close to the engine mount to allow insertion of a first support pin through a first secondary orifice and a second secondary orifice made in the attachment body and the rigid structure respectively, and to allow insertion of a second support pin through a first secondary orifice and a second secondary orifice also made in the attachment body and rigid structure, respectively, each of the two support pins having a smaller diameter than the diameter of the associated first and second secondary orifices; and  
then lowering the engine until an upper part of each of the two first secondary orifices of the attachment body comes to bear against its associated support pin.  
4. The mounting method according to  claim 3, wherein, after the inserting each pin fitted with a convex centering head, the support pins are removed from the secondary orifices.
5. The mounting method according to  claim 4, wherein after the removal of the support pins, two failsafe shear pins are inserted through the secondary orifices.
6. The mounting method according to  claim 1, wherein the pre-positioning operation is performed so that the attachment body is positioned forwardly relative to the contact surface of the rigid structure, and wherein the inserting a pin fitted with a convex centering head is performed such that the pin is first inserted in its associated first primary orifice, before entering its associated second primary orifice.
7. The mounting method according to  claim 6, wherein each second primary orifice is bevelled in its forward portion.
8. The mounting method according to  claim 1, wherein the securing the attachment body onto the rigid structure further comprises placing tension bolts in position between these two elements.
9. The mounting method according to  claim 1, wherein the securing the attachment body onto the rigid structure is performed for securing an aft engine attachment or for securing of a forward engine attachment.
10. The mounting method according to  claim 1, wherein the securing the attachment body onto the rigid structure is performed for securing a forward engine attachment, and wherein the contact surface of the rigid structure is box-shaped, and is defined by a forward surface of a forward closure rib of the box.
11. The mounting method according to  claim 10, wherein the contact surface is configured to be substantially oriented along a plane defined by a transverse direction and a vertical direction of the engine mount.
12. The mounting method according to  claim 1, wherein each pin fitted with a convex centering head is configured to be inserted in its associated primary orifices along a longitudinal direction of the engine mount. "
cpc_2011,3,"1. A device for mounting a suspension member on the casing of a turbine engine comprising:  
a yoke with at least one lug, secured to the casing;  
a pin fixed to said yoke supporting said member via a bushing surrounding the pin, an end of the pin includes a step on which a flat surface is formed and a first side of the bushing including a step which abuts a first side of the yoke in an axial direction; and  
a counter-rotation plate attached to the lug, a first side of the plate abuts a second side of the yoke and a second side of the bushing in the axial direction,  
wherein a second side of the plate includes a counter-rotation tab with a surface against which the flat surface of the step of the end of the pin abuts.  
2. A device for mounting a suspension member on the casing of a turbine engine comprising:  
a yoke with at least one lug, secured to the casing;  
a pin fixed to said yoke supporting said member via a ring surrounding the pin; and  
a rotation-prevention means comprising a counter-rotation plate attached to the lug,  
wherein said plate and the pin comprise an assembly consisting of a peg and of a cutout or a hole, into which said peg fits in order to prevent the pin from rotating in the yoke, and  
wherein the plate is prevented from rotating relative to the yoke by a bolted connection.  
3. The device as claimed in  claim 2, wherein the bolted connection consists of a screw passing through the plate and the lug and held in place by a nut.
4. A turbine engine casing comprising at least one yoke with at least one lug comprising at least one device for mounting a suspension member as claimed in one of  claims 1 to  3.
5. A turbine engine comprising at least one device for mounting a suspension member as claimed in one of  claims 1 to  3.
6. The device as claimed in  claim 1, wherein the counter-rotation tab is of rectangular shape.
7. The device as claimed in  claim 1, further comprising a screw which passes longitudinally through the pin. "
cpc_2011,4,"1. A fuel system comprising: a fuel line; a fuel pump having an inlet coupled to a fuel tank and an outlet coupled to the fuel line; and a water scavenging system having an inlet for collecting water from the fuel tank and an outlet coupled to the fuel line in parallel with the pump.
2. The fuel system of  claim 1 wherein the water scavenging system is powered by the hydraulic action of fuel in the fuel line.
3. The fuel system of  claim 2 wherein the water scavenging system comprises a constriction in the fuel line, and the outlet of the water scavenging system is located adjacent to the constriction whereby the hydraulic action of fuel in the fuel line draws the water into the fuel line by the venturi effect.
4. The fuel system of  claim 3 wherein the outlet of the water scavenging system comprises an opening in the constriction in the fuel line.
5. The fuel system of  claim 3 wherein the opening in the constriction in the fuel line extends around the circumference of the constriction.
6. The fuel system of  claim 3 wherein the water scavenging system further comprises:  
a secondary venturi line having an inlet coupled to the fuel line, a constriction, and an outlet which forms the outlet of the water scavenging system; and  
a water scavenging line having an inlet for collecting water and an outlet located adjacent to the constriction in the secondary venturi line whereby the hydraulic action of fuel in the secondary venturi line draws the water into the secondary venturi line by the venturi effect.  
7. The fuel system of  claim 6 wherein the secondary venturi line passes through a wall of the fuel line.
8. The fuel system of  claim 6 wherein the outlet of the water scavenging line comprises a jet pipe which extends into the secondary venturi line.
9. The fuel system of  claim 2 wherein the water scavenging system comprises:  
a water scavenging pump; and  
a motor having a power output coupled to the water scavenging pump and a fluid inlet coupled to the fuel line whereby the motor is powered by the hydraulic action of fuel drawn from the fuel line.  
10. The fuel system of  claim 1 wherein the fuel pump further comprises a re-circulating outlet.
11. The fuel system of  claim 10 wherein the re-circulating outlet opens into the fuel tank.
12. A method of removing water from a fuel tank, the method comprising scavenging the water from the fuel tank; injecting it into a fuel line downstream of a fuel pump; and feeding it from the fuel line into an engine. "
cpc_2011,5,"1. A device that resists thrusts generated by an aircraft engine, the device configured to be inserted between an engine and a rigid structure of a suspension pylon of the engine, and comprising:  
a fitting configured to be fixed on the rigid structure;  
a pin system passing through the fitting;  
two lateral thrust resistance rods each comprising a forward end to be connected to the engine and an aft end;  
a spreader beam onto which the two aft ends of the lateral thrust resistance rods are hinged, the spreader beam being passed through by the pin system; and  
a nut system, comprising:  
a nut comprising a main thread with pitch p
1, the main thread arranged along a screwing axis of the nut; and
a threaded device coupled in rotation and translation with the nut about the screwing axis, the threaded device comprising a secondary thread non-screwed on the main thread from which the secondary thread is separated, the secondary thread arranged along the screwing axis of the nut and having a pitch p
2 different from p
1, wherein    
the pitches p
1 and p
2 have the same direction, and  
the nut system is assembled on the pin system and bearing on the spreader beam.  
2. A thrust resistance device according to  claim 1, wherein the main thread and the secondary thread are configured to be screwed onto a complementary main thread with pitch p
1 and onto a complementary secondary thread with pitch p
2 respectively.
3. A thrust resistance device according to  claim 1, wherein the threaded device is fixed to the nut.
4. A thrust resistance device according to  claim 1, wherein the threaded device is a screw passing through the nut.
5. A thrust resistance device according to  claim 4, wherein the screw is fixed to the nut through an anti-rotation plate fixed on the nut and cooperating with a head of the screw.
6. A thrust resistance device according to  claim 1, further comprising a pin extension device supported on an inside thereof by the pin system.
7. A thrust resistance device according to  claim 6, wherein the pin extension device is a screw fitted on the pin system, the screw penetrating inside the pin system.
8. A thrust resistance device according to  claim 7, wherein the threaded device of the nut system is screwed onto the pin extension device.
9. A thrust resistance device according to  claim 6, wherein the pin system comprises an inner pin and a concentric outer pin, the two pins being fixed to each other and the inner pin being hollow so that it can act as a housing for the pin extension device.
10. A thrust resistance device according to  claim 9, wherein the nut in the nut system is mounted on the outer pin.
11. A thrust resistance device according to  claim 9, further comprising an anti-rotation washer cooperating with the nut and being inserted between the nut and the spreader beam.
12. A suspension pylon for an engine configured to be inserted between an aircraft wing and the engine, the pylon comprising:  
a rigid structure;  
means for fastening the engine onto the rigid structure; and  
suspension means comprising the thrust resistance device according to  claim 1 to resist thrusts generated by the engine.  
13. A thrust resistance device according to  claim 1, wherein the main thread is an inner thread of the nut.
14. A thrust resistance device according to  claim 1, wherein the threaded device is unthreaded with the nut.
15. A thrust resistance device according to  claim 5, wherein the threaded device is fixed to the nut only at the head of the screw.
16. A thrust resistance device according to  claim 1, wherein the pitch p
2 is less than the pitch p
1.
17. A device that resists thrusts generated by an aircraft engine, the device configured to be inserted between an engine and a rigid structure of a suspension pylon of the engine, and comprising:  
a fitting configured to be fixed on the rigid structure;  
a pin system passing through the fitting;  
two lateral thrust resistance rods each comprising a forward end to be connected to the engine and an aft end;  
a spreader beam onto which the two aft ends of the lateral thrust resistance rods are hinged, the spreader beam being passed through by the pin system; and  
a nut system, comprising:  
a nut comprising a main thread with pitch p
1, the main thread arranged along a screwing axis of the nut; and
a threaded device coupled in rotation and translation with the nut about the screwing axis, the threaded device comprising a secondary thread non-screwed on the main thread from which the secondary thread is separated, the secondary thread arranged along the screwing axis of the nut and having a pitch p
2 less than p
1 wherein the pitches p
1 and p
2 have the same direction.    
18. An aircraft engine mounting assembly that resist thrust generated by an aircraft engine, comprising:  
a receiving assembly; and  
a nut system, comprising:  
a nut comprising a main thread with pitch p
1, the main thread arranged along a screwing axis of the nut; and
a threaded device coupled in rotation and translation with the nut about the screwing axis, the threaded device comprising a secondary thread non-screwed on the main thread from which the secondary thread is separated, the secondary thread arranged along the screwing axis of the nut and having a pitch p
2 different from p
1, wherein    
the pitches p
1 and p
2 have the same direction, and  
the nut system is mounted on the receiving assembly, the main thread being screwed onto a complementary main thread with pitch p
1 formed on the receiving assembly, and the secondary thread being screwed on a complementary secondary thread with pitch p
2 formed on the receiving assembly.  "
cpc_2011,6,"1. A method of supplying fuel to an engine of an aircraft, said method comprising the steps of:  
(a) loading the fuel on board the aircraft in the liquid state;  
(b) intentionally freezing the fuel on board the aircraft using a cooling system;  
(c) heating a portion of the frozen fuel to form liquid fuel, as needed by the aircraft engine;  
(d) supplying the liquid fuel to the aircraft engine;  
whereby the fuel on board the aircraft remains in the frozen state until needed by the aircraft engine.  
2. The method defined in  claim 1, wherein said fuel is frozen by conducting heat away using a pressurized material selected from the group consisting of liquid nitrogen, liquid carbon dioxide, solid carbon dioxide and a liquid noble element from Group VIII of the Periodic Table.
3. The method defined in  claim 1, wherein said portion of the fuel is heated by means selected from the group consisting of electrical heating elements, electromagnetic energy, heat exchange with engine oil, heat exchange with engine exhaust and heat exchange with ambient air.
4. The method defined in  claim 1, further comprising the step of shaving off a portion of said frozen fuel prior to heating said portion.
5. The method defined in  claim 1, further comprising the step of rapidly cooling said portion of the liquid fuel in case of an aircraft emergency.
6. The method defined in  claim 1, wherein said step of rapidly cooling includes injecting a cooling liquid into said portion of fuel.
7. The method defined in  claim 1, further comprising the step of filtering the liquid fuel on board the aircraft after it has been heated to eliminate frozen particles."
cpc_2011,7,"1. A bird deflector and air replacement system for a jet engine inlet, comprising longitudinal and lateral members forming a contoured perforated guard open at the rearward end thereof, a tube having its forward end connected to the open end of the perforated guard, and its rear end connected adjacent the inlet of the jet engine, and a plurality of spaced-apart streamlined open front and closed rear channels mounted on the outer surface of the tube, with matching openings formed in the tube and the bottom of each channel, wherein the total air flow through the plurality of channels substantially equals the total air flow blocked by the longitudinal and lateral members.
2. The bird deflector and air replacement system describe in  claim 1, wherein the longitudinal members are sloped to meet at a forward end thereof, and the lateral members extend between respective adjacent longitudinal members at spaced intervals therealong.
3. The bird deflector and air replacement system describe in  claim 1, wherein the tube is shaped to conform to the inlet shape of the jet engine.
4. The bird deflector and air replacement system describe in  claim 1, wherein said channels are formed as one of nozzles or venturi tubes or each having an orifice formed therein.
5. A bird deflector and air replacement system for a jet engine having an inlet cowl, comprising longitudinal and lateral members forming a contoured perforated guard open at the rearward end thereof and connected adjacent the inlet of the inlet cowl, and a plurality of spaced-apart streamlined open front and closed rear channels mounted on the outer surface of the inlet cowl, with matching openings formed in the inlet cowl and in the bottom of each channel, wherein the total air flow through the plurality of channels and matching openings substantially equals the total air flow blocked by the longitudinal and lateral members of the bird deflector."
cpc_2011,8,"1. A system for deicing a hollow leading edge of an air inlet cowl of an aircraft turbine engine said deicing system comprising:  
an injector designed to inject pressurized hot air inside said hollow leading edge;  
a hot air intake mounted on a hot-stream generator of said turbine engine;  
a hot-air circulation circuit for conveying said pressurized hot air from said hot air intake to said injector, said hot-air circulation circuit forming a right-angled structure comprised of a transverse branch rigidly connected to said hot air intake, and a longitudinal branch arranged laterally with respect to said turbine engine and whose end is connected to said injector;  
a fastening unit arranged in the region of said injector for fastening said longitudinal branch to said air inlet cowl; and  
a sealed articulation device comprised of two mutually secured swivels mounted on at least one of said transverse branch and said longitudinal branch of said hot-air circulation circuit to provide said right-angled structure with capabilities of deforming about said articulation device; and  
an external protective casing surrounding said transverse branch and provided with a conjoint articulation device arranged and produced in correspondence with said sealed articulation device.  
2. The deicing system as claimed in  claim 1, wherein the external protective casing is removable.
3. The deicing system as claimed in  claim 1, wherein at least one of the swivels is a detachable joint type swivel.
4. The deicing system as claimed in  claim 3, wherein, in each detachable joint type swivel, said swivel cooperates with a cylindrical surface.
5. The deicing system as claimed in  claim 1, wherein the swivels are mounted on the transverse branch of said hot-air circulation circuit.
6. The deicing system as claimed  claim 1, wherein:  
said longitudinal branch of the hot-air circulation circuit is constituted by an internal hot-air-ducting element and by an external surrounding said two constituent elements of said branch is longitudinally rigid, other of said constituent elements least two parts which are nested one inside the other and which are capable of sliding with respect to one another in a sealed manner;  
the two constituent elements of said longitudinal branch are secured to one another at their two ends;  
in the region of said injector, the two constituent elements are rigidly connected in common to said fastening unit; and  
in the region of said transverse branch, on the one hand, said internal hot-air-ducting elements of said longitudinal and transverse branches are secured to one another and, on the other hand, said external protective casing elements of said longitudinal and transverse branches are likewise secured to one another.  
7. The deicing system as claimed in  claim 1, wherein:  
said longitudinal branch of the hot-air circulation circuit comprises at least two sections mounted one at the end of the other;  
each of said sections is constituted by an internal hot-air-ducting element and by an external protective casing element surrounding said internal element;  
one of the constituent elements of each of said sections is longitudinally rigid, whereas the other of said constituent elements comprises at least two parts which are nested one inside the other and which are capable of sliding with respect to one another in a sealed manner;  
the two constituent elements of each of said sections are secured to one another at their two ends;  
the two sections of said longitudinal branch are joined together so as to connect their constituent elements, respectively;  
in the region of said injector, the two constituent elements of one of the two sections are rigidly connected in common to said fastening unit; and  
in the region of said transverse branch, on the one hand, said internal hot-air-ducting elements of the other of said sections and of the transverse branch are secured to one another and, on the other hand, said external protective casing elements of said other section and of said transverse branch are likewise secured to one another.  
8. The deicing system as claimed in  claim 1, wherein said fastening unit comprises a partition which closes off said hollow leading edge. "
cpc_2011,9,"1. An ice protection system for a gas turbine engine, the system comprising:  
a plurality of structural members arranged in a cascade configuration, each structural member defining a leading edge and opposite sidewalls, and wherein the plurality of structural members define a plurality of zones;  
at least one electrically-powered heater disposed at each of the plurality of structural members; and  
an ice protection system controller for controlling operation of the electrically powered heaters, wherein the ice protection system controller is configured to selectively provide power to the electrically-powered heaters by zone according to a duty cycle.  
2. The system of  claim 1, wherein a first of the plurality of structural members is symmetrically shaped and comprises:  
a first electrically-powered heater embedded at the leading edge of the structural member;  
a pair of second electrically-powered heaters embedded in the structural member opposite each other at locations along the sidewalls, wherein the pair of second electrically-powered heaters each have a Watt density less than a Watt density of the first electrically-powered heater; and  
a pair of third electrically-powered heaters embedded in the structural member opposite each other at locations along the sidewalls rearward of the pair of second electrically-powered heaters, respectively, wherein the pair of third electrically-powered heaters each has a Watt density less than the Watt densities of each of the second pair of electrically-powered heaters,  
wherein the Watt densities of the first electrically-powered heater and the second and third pairs of electrically-powered heaters are selected as a function of cooling coefficients for airflow passing the structural member during engine operation.  
3. The system of  claim 1, wherein the Watt density of the first electrically-powered heater is about three times more than the Watt densities of each of the pair of second electrically-powered heaters.
4. The system of  claim 1, wherein the Watt densities of each of the pair of second electrically-powered heaters are about two times more than the Watt densities of each of the pair of third electrically-powered heaters. "
